"doi","publication_date","title","financial_disclosure","grants","Id","grant_title"
"10.1371/journal.pbio.1000598","2011-03-08","Host Defense against Viral Infection Involves Interferon Mediated Down-Regulation of Sterol Biosynthesis","This work was supported by the Wellcome Trust (WT066784/Z/02/Z) and by the BBSRC/EPSRC and reagent support by the RNAi Global Initiative to PG. MB was supported by a studentship from the British Heart Foundation reference FS/05/022 and University of Edinburgh Alumni Fund. SRM was supported by a BBSRC studentship and Principal's Fellowship. PL is supported by BBSRC studentship. The Centre for Systems Biology at Edinburgh is a Centre for Integrative Systems Biology (CISB) supported by the BBSRC and EPSRC, reference BB/D019621/1. BS and MM are supported by the Austrian Science Fund FWF SFB F28 and Austrian Federal Ministry of Science and Research GEN-AU III Austromouse. MRW is supported by the Singapore National Research Foundation under CRP Award No. 2007-04, the Biomedical Research Counncil of Singapore (R-183-000-211-305) and the National Medicial Research Council (R-183-000-224-213. AA is supported by funding from the Ministerio de Educación y Ciencia (SAF2008-00382). The funders had no role in study design, data collection and analysis, decision to publish or preparation of the manuscript.","66784",66784,"Molecular determinants of virus re-activation, latency and pathogenesis."
"10.1371/journal.pbio.1001048","2011-04-19","Eps8 Regulates Hair Bundle Length and Functional Maturation of Mammalian Auditory Hair Cells","This work was supported by the Wellcome Trust (088719), RNID (G41), and Westfield Health to W.M.; CARIPLO Foundation (2007/5746) to S.M. and N.O.; Deutsche Forschungsgemeinschaft DFG Kni 316-4-1 and Graduate Program Grant of the University of Tübingen to M.K.; Henry Smith Charity to D.N.F; Compagnia San Paolo to N.O.; Associazione Italiana per la Ricerca sul Cancro (AIRC) to N.O. and P.P.D.F.; the European Community, the European Research Council, the Italian Ministries of Education-University-Research (MIUR) and of Health, the Ferrari Foundation, the Monzino Foundation, to P.P.D.F.W.M. is a Royal Society University Research Fellow. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","88719",88719,"Functional maturation of ribbon synapses in mammalian cochlear inner hair cells."
"10.1371/journal.pbio.1001073","2011-05-31","N-Terminal Acetylation Inhibits Protein Targeting to the Endoplasmic Reticulum","This work was funded by the Wellcome trust (www.wellcome.ac.uk Grant 74149 to CJS) and the BBSRC (www.bbsrc.ac.uk Grant BB/H007202 to MRP). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","74149",74149,"Protein biogenesis in the yeast endoplasmic reticulum."
"10.1371/journal.pbio.1001133","2011-08-30","The Glial Regenerative Response to Central Nervous System Injury Is Enabled by Pros-Notch and Pros-NFκB Feedback","This work was funded by Yamada Science Foundation and Royal Society Short Visit Fellowships and EU Marie Curie International Incoming Fellowhisp GRR to K.K., and BBSRC Project Grant BB/H002278/1 and Wellcome Trust Equipment Grant 073228 to A.H. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","73228",73228,"Confocal microscopy for time-lapse, FRET and calcium imaging analyses of cellular processes."
"10.1371/journal.pbio.1001152","2011-09-13","Remodelling of Cortical Actin Where Lytic Granules Dock at Natural Killer Cell Immune Synapses Revealed by Super-Resolution Microscopy","This work was funded by the Medical Research Council (www.mrc.ac.uk; G0500563 and G1001044), the Biotechnology and Biological Sciences Research Council (www.bbsrc.ac.uk; BB/D011663/1), an Imperial College Rector's Research Excellence award, and a Marie Curie Intra-European Fellowship (http://cordis.europa.eu/; 235806) (to J-MA). RMP and ID are funded by a Wellcome Trust Senior Research Fellowship (www.wellcome.ac.uk; 081858) (to ID) and the OMX Microscope was funded by the Wellcome Trust (067413). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","81858;67413",81858,"Elucidating the molecular mechanisms of intracellular mRNA transport and anchoring."
"10.1371/journal.pbio.1001216","2011-12-13","Jamb and Jamc Are Essential for Vertebrate Myocyte Fusion","Generation of the zebrafish knockout alleles was sponsored by a ZF-MODELS Integrated Project (contract number LSHG- CT-2003-503496) funded by the European Commission and by the Wellcome Trust (grant number WT 077047/Z/05/Z). Our work was supported by the Wellcome Trust (grant number 077108/Z/05/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","77047;77108",77108,"Genome-wide identification of novel extracellular protein:protein interactions with functional annotation in the model vertebrate, the zebrafish."
"10.1371/journal.pbio.1001250","2012-01-24","The Chromosomal Passenger Complex Activates Polo Kinase at Centromeres","The WCE Lab is supported by Wellcome Trust Principal Research Fellowship to WCE 073915/Z/03/Z (The Wellcome Trust: http://www.wellcome.ac.uk/). The Wellcome Trust Centre for Cell Biology is funded by core grants number 077707 and 092076. VA Holds a Career Development Award from the Human Frontier Science Program Organization - CDA00036/2009 (www.hfspo.org)and a fellowship from the Fonds de recherche en santé du Québec. Work in VA's lab was funded by the Canadian Institutes of Health Research (www.cihr-irsc.gc.ca). U.S.E. was supported by NIH grant R01 GM082834. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","73915;77707;92076",73915,"The role of non-histon proteins in chromosome structure and function during mitosis and apoptosis."
"10.1371/journal.pbio.1001250","2012-01-24","The Chromosomal Passenger Complex Activates Polo Kinase at Centromeres","The WCE Lab is supported by Wellcome Trust Principal Research Fellowship to WCE 073915/Z/03/Z (The Wellcome Trust: http://www.wellcome.ac.uk/). The Wellcome Trust Centre for Cell Biology is funded by core grants number 077707 and 092076. VA Holds a Career Development Award from the Human Frontier Science Program Organization - CDA00036/2009 (www.hfspo.org)and a fellowship from the Fonds de recherche en santé du Québec. Work in VA's lab was funded by the Canadian Institutes of Health Research (www.cihr-irsc.gc.ca). U.S.E. was supported by NIH grant R01 GM082834. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","73915;77707;92076",77707,"Core support for Wellcome Trust Centre for Cell Biology."
"10.1371/journal.pbio.1001250","2012-01-24","The Chromosomal Passenger Complex Activates Polo Kinase at Centromeres","The WCE Lab is supported by Wellcome Trust Principal Research Fellowship to WCE 073915/Z/03/Z (The Wellcome Trust: http://www.wellcome.ac.uk/). The Wellcome Trust Centre for Cell Biology is funded by core grants number 077707 and 092076. VA Holds a Career Development Award from the Human Frontier Science Program Organization - CDA00036/2009 (www.hfspo.org)and a fellowship from the Fonds de recherche en santé du Québec. Work in VA's lab was funded by the Canadian Institutes of Health Research (www.cihr-irsc.gc.ca). U.S.E. was supported by NIH grant R01 GM082834. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","73915;77707;92076",92076,"Core funding renewal for the Wellcome Trust Centre for Cell Biology ."
"10.1371/journal.pbio.1001287","2012-03-27","NUP-1 Is a Large Coiled-Coil Nucleoskeletal Protein in Trypanosomes with Lamin-Like Functions","This work was funded by the Wellcome Trust (grant numbers 082813, 093010, and 055558) to MCF, MPR, DH, and JDB; and the US National Institutes of Health (grant number P50 GM076547 to JDA and U54 RR022220 to JDA and MPR). MN and JMB were supported by MICINN grant (SAF2009-07587). The Wellcome Trust Centre for Molecular Parasitology is supported by core funding from the Wellcome Trust (grant number 085349). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","82813;93010;55558;85349",82813,"Structure, function and evolution of the trypanosome nuclear envelope ."
"10.1371/journal.pbio.1001287","2012-03-27","NUP-1 Is a Large Coiled-Coil Nucleoskeletal Protein in Trypanosomes with Lamin-Like Functions","This work was funded by the Wellcome Trust (grant numbers 082813, 093010, and 055558) to MCF, MPR, DH, and JDB; and the US National Institutes of Health (grant number P50 GM076547 to JDA and U54 RR022220 to JDA and MPR). MN and JMB were supported by MICINN grant (SAF2009-07587). The Wellcome Trust Centre for Molecular Parasitology is supported by core funding from the Wellcome Trust (grant number 085349). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","82813;93010;55558;85349",93010,"Mechanisms of drug resistance and immune evasion in African trypanosomes."
"10.1371/journal.pbio.1001287","2012-03-27","NUP-1 Is a Large Coiled-Coil Nucleoskeletal Protein in Trypanosomes with Lamin-Like Functions","This work was funded by the Wellcome Trust (grant numbers 082813, 093010, and 055558) to MCF, MPR, DH, and JDB; and the US National Institutes of Health (grant number P50 GM076547 to JDA and U54 RR022220 to JDA and MPR). MN and JMB were supported by MICINN grant (SAF2009-07587). The Wellcome Trust Centre for Molecular Parasitology is supported by core funding from the Wellcome Trust (grant number 085349). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","82813;93010;55558;85349",55558,"Antigenic variation and transmission of African trypanosomes."
"10.1371/journal.pbio.1001287","2012-03-27","NUP-1 Is a Large Coiled-Coil Nucleoskeletal Protein in Trypanosomes with Lamin-Like Functions","This work was funded by the Wellcome Trust (grant numbers 082813, 093010, and 055558) to MCF, MPR, DH, and JDB; and the US National Institutes of Health (grant number P50 GM076547 to JDA and U54 RR022220 to JDA and MPR). MN and JMB were supported by MICINN grant (SAF2009-07587). The Wellcome Trust Centre for Molecular Parasitology is supported by core funding from the Wellcome Trust (grant number 085349). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","82813;93010;55558;85349",85349,"The Wellcome Trust Centre for Molecular Parasitology"
"10.1371/journal.pbio.1001341","2012-06-05","The Origin of Glucocorticoid Hormone Oscillations","This work was supported by the Engineering and Physical Sciences Research Council (EPSRC) grant EP/E032249/1; the Biotechnology and Biological Sciences Research Council (BBSRC) grant BB/H015779/1; the Wellcome Trust grant 074112/Z/04/Z; and a support grant from the British Society for Neuroendocrinology (BSN). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","74112",74112,"The pathophysiology of the hypothalamic-pituitary-adrenal response to stress: interaction of adaptive responses with genetic and environmental factors."
"10.1371/journal.pbio.1001396","2012-09-25","Independent Regulation of Basal Neurotransmitter Release Efficacy by Variable Ca2+ Influx and Bouton Size at Small Central Synapses","The study was supported by the Medical Research Council United Kingdom (G0600089), the Brain Research Trust, the Wellcome Trust (WT084311), the European Research Council, and a UCL Bridging Award for CH. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","84311",84311,"Principles of neurotransmitter signal formation in the brain ."
"10.1371/journal.pbio.1001489","2013-02-19","A Force-Activated Trip Switch Triggers Rapid Dissociation of a Colicin from Its Immunity Protein","This work was funded by the BBSRC (http://www.bbsrc.ac.uk/home/home.aspx) BB/G019452/1 and the Wellcome Trust (http://www.wellcome.ac.uk/) 093790/Z/10/Z. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","93790",93790,"Molecular Basis of Biological Mechanisms"
"10.1371/journal.pbio.1001613","2013-07-23","Anthranilate Fluorescence Marks a Calcium-Propagated Necrotic Wave That Promotes Organismal Death in C. elegans","CC, CA, FC, and DG acknowledge funding from the BBSRC, the EU (FP7-259679 IDEAL, FP6-036894 and FP6-518230), and the Wellcome Trust (Strategic Award 098565/Z/12/Z). ZP was supported by a Jane Coffin Child postdoctoral fellowship, and ZP and FJS were supported by NIH R01 AG033921. KWN acknowledges support from the NSF (IOS 0919848: KN). EA was supported in part by a Ruth L. Kirschstein National Research Service Institutional Training Grant T32 GM068411. FM is supported by a Special Research Fund fellowship from the University of Ghent. FCS and PM were supported in part by the NIH (AG033839 and GM088290). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","36894;98565",98565,"Biological determinants of ageing and late life health, and their pharmacological manipulation."
"10.1371/journal.pcbi.1000017","2008-03-07","Intrinsically Disordered Proteins Display No Preference for Chaperone Binding In Vivo","This research was supported by the following grants: OTKA K60694 from the Hungarian Scientific Research Fund, ETT 245/2006 from the Hungarian Ministry of Health, International Senior Research Fellowship ISRF 067595 from the Wellcome Trust to P.T., and a Marie Curie reintegration grant IRG-046572 from the European Commission to H.H.","67595;46572",67595,"Structural and functional characterisation of intrinsically unstructured proteins."
"10.1371/journal.pcbi.1000250","2008-12-26","Identification of Mechanosensitive Genes during Embryonic Bone Formation","This research was supported by funding from the Irish Research Council for Science, Engineering and Technology (IRCSET) under the National Development Plan (NDP) in Ireland and the Wellcome Trust (083539/Z/07/Z). The funders had no role in the design and conduct of the study, in the collection, analysis, or interpretation of the data, or in the preparation, review, or approval of the manuscript.","83539",83539,"Mechanoregalation of patterning genes during development of the embryonic skeleton: growth and differentiation in the absence of muscle contractions."
"10.1371/journal.pcbi.1000327","2009-03-20","T-Cell Epitope Prediction: Rescaling Can Mask Biological Variation between MHC Molecules","This work was supported by the Wellcome Trust UK [WT078326] and RCUK. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","78326",78326,"The determination of the basic HLA Class-1 associated protection in HTLV-1 infection."
"10.1371/journal.pcbi.1000416","2009-06-26","Quantitative Analysis of Mechanisms That Govern Red Blood Cell Age Structure and Dynamics during Anaemia","This work is supported by the Wellcome Trust (082601/Z/07/Z and 002234/Z/07/Z) and NERC (NE/E000886/1). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. This work has made use of the resources provided by the Edinburgh Compute and Data Facility (ECDF). (http://www.ecdf.ed.ac.uk/). The ECDF is partially supported by the eDIKT initiative (http://www.edikt.org.uk).","82601",82601,"Host-parasite interactions elucidated by McMC based Bayesian inference."
"10.1371/journal.pcbi.1000507","2009-09-18","Human miRNA Precursors with Box H/ACA snoRNA Features","MSS is a recipient of post-doctoral fellowships from the Canadian Institutes of Health Research (CIHR) as well as the Caledonian Research Foundation. Funding for this research was provided by a Wellcome Trust Programme to AIL (Ref: 073980/Z/03/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","73980",73980,"Structure and function of the mammalian cell nucleus."
"10.1371/journal.pcbi.1000648","2010-01-22","A Multidimensional Strategy to Detect Polypharmacological Targets in the Absence of Structural and Sequence Homology","JDD is funded by a Pharmacology Training Grant through the UCSD School of Medicine (NIH 2T32GM007752-30, http://pharmacology.ucsd.edu/). This work was also carried out with funding from NIH F32-GM077729 (http://www.nih.gov/) and NSF MRAC CHE060073N (http://www.nsf.gov/) to REA; and NIH GM31749, NSF MCB-0506593, and MCA93S013 to JAM. Support from the Howard Hughes Medical Institute (http://www.hhmi.org/), the National Biomedical Computation Resource (NIH P41 RR08605, http://www.nih.gov/), and the Center for Theoretical Biological Physics (NSF PHY-0822283, http://www.nsf.gov/) is also gratefully acknowledged. LX and PEB are funded by NIH GM078596. MDU and MAJF are funded by a Programme Grant from The Wellcome Trust (085622, http://www.wellcome.ac.uk/Funding/Biomedical-science/Grants/Research-support/WTD004407.htm). AMDG is funded by French (ANR-05-JCJC-0049-01, http://www.agence-nationale-recherche.fr/) and European grants (EUR-INTAFAR LSHM-CT-2004-512138, http://www.eur-intafar.eu/). AH is funded by grants from the Academy of Finland (http://www.aka.fi/en-gb/A/), the Sigrid Jusélius Foundation (http://www.sigridjuselius.net/), and the NordForsk under the Nordic Centres of Excellence Programme on Food, Nutrition, and Health, Project (070010) “MitoHealth” (http://www.mitohealth.org/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","85622;70010",85622,"The biosynthesis of glycoproteins in Trypanosoma brucei: basic and translational research."
"10.1371/journal.pcbi.1000770","2010-05-06","A Bayesian Framework to Account for Complex Non-Genetic Factors in Gene Expression Levels Greatly Increases Power in eQTL Studies","This work was supported by the Wellcome Trust [grant number WT077192/Z/05/Z] and the Technical Computing Initiative (Microsoft Research). OS received funding from EPSRC and the Cambridge Gates Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","77192",77192,"Richard Durbin faculty research in computational genomics: sequence analysis mmethodology and TreeFam, a new gene classification resource."
"10.1371/journal.pcbi.1000815","2010-06-17","NeuroML: A Language for Describing Data Driven Models of Neurons and Networks with a High Degree of Biological Detail","Support for the UK team from the MRC (Program grant G0400598 to RAS and a Special Research Training Fellowship to PG), the BBSRC (005490), the EU (EUSynapse, LSHM-CT-2005-019055) and the Wellcome Trust (086699 to RAS). RAS is in receipt of a Wellcome Senior Research Fellowship (064413). YDD was funded by a studentship from UCL and the CoMPLEX PhD program. SC was supported by R01 MH081905 from the National Institute of Mental Health. NEURON extensions for reading/writing NeuroML files were supported by NIH grant R01 NS11613 and the relevant ModelDB curation was supported by NIH grant P01 DC04732. Work on the compatibility of NeuroML and PyNN was carried out in the EU FACETS project (FP6-2004-IST-FETPI-015879). Development of the MOOSE simulator was supported by grants SBCNY/NIGMS and DAE-SRC. We thank the Wellcome Trust (086699), INCF and NSF (IIS-0912814) for contributing to a workshop on the future of NeuroML. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","19055;86699;64413;15879",86699,"Development and standardization of biologically realistic neural network models through an open source database."
"10.1371/journal.pcbi.1000815","2010-06-17","NeuroML: A Language for Describing Data Driven Models of Neurons and Networks with a High Degree of Biological Detail","Support for the UK team from the MRC (Program grant G0400598 to RAS and a Special Research Training Fellowship to PG), the BBSRC (005490), the EU (EUSynapse, LSHM-CT-2005-019055) and the Wellcome Trust (086699 to RAS). RAS is in receipt of a Wellcome Senior Research Fellowship (064413). YDD was funded by a studentship from UCL and the CoMPLEX PhD program. SC was supported by R01 MH081905 from the National Institute of Mental Health. NEURON extensions for reading/writing NeuroML files were supported by NIH grant R01 NS11613 and the relevant ModelDB curation was supported by NIH grant P01 DC04732. Work on the compatibility of NeuroML and PyNN was carried out in the EU FACETS project (FP6-2004-IST-FETPI-015879). Development of the MOOSE simulator was supported by grants SBCNY/NIGMS and DAE-SRC. We thank the Wellcome Trust (086699), INCF and NSF (IIS-0912814) for contributing to a workshop on the future of NeuroML. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","19055;86699;64413;15879",64413,"Vesicle dynamics and synaptic computation."
"10.1371/journal.pcbi.1000946","2010-09-30","Quantitative Analysis of Immune Response and Erythropoiesis during Rodent Malarial Infection","This work was supported by the Wellcome Trust (Grant No. 082601/Z/07/Z). It has made use of the resources provided by the Edinburgh Compute and Data Facility (ECDF). The ECDF is partially supported by the eDIKT initiative. The original experiments were supported by the Wellcome Trust, the Swedish Research Council, and a Marie Curie Fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","82601",82601,"Host-parasite interactions elucidated by McMC based Bayesian inference."
"10.1371/journal.pcbi.1001020","2010-12-02","Assessing Computational Methods of Cis-Regulatory Module Prediction","JS is funded by a Medical Research Council (MRC) Capacity Building Studentship. SAT is funded by the MRC. TAD is supported by a Wellcome Trust Research Career Development Fellowship (083563). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","83563",83563,"Discovery and annotation of regulatory elements in metazoan genomes."
"10.1371/journal.pcbi.1002060","2011-06-30","Differential Producibility Analysis (DPA) of Transcriptomic Data with Metabolic Networks: Deconstructing the Metabolic Response of M. tuberculosis","This work was supported by a grant from the Biotechnology and Biological Sciences Research Council (BBSRC, http://www.bbsrc.ac.uk/) grant reference number: BB/D007208/1. The work was also supported by a grant from The Wellcome Trust (http://www.wellcome.ac.uk/) grant reference 088677. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","88677",88677,"Investigation of metabolism and substrate utilization of Mycobacterium tuberculosis."
"10.1371/journal.pcbi.1002381","2012-02-23","The Efficiency of the Human CD8+ T Cell Response: How Should We Quantify It, What Determines It, and Does It Matter?","We are grateful to the Wellcome Trust (P21261, 091845) and the Medical Research Council (G0601072, G1001052) for funding. The funders had no role in the preparation of the manuscript.","91845",91845,"HTLV-1 clonality: the role of the genomic integration site."
"10.1371/journal.pcbi.1002740","2012-10-18","Phasic Firing in Vasopressin Cells: Understanding Its Functional Significance through Computational Models","This work was supported by the Wellcome Trust Grant #089543. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","89543",89543,"The Vasopressin System-Asynchronous burst firing as a signal encoding mechanism."
"10.1371/journal.pcbi.1002795","2012-12-06","Sensitivity Analysis of Flux Determination in Heart by H218O -provided Labeling Using a Dynamic Isotopologue Model of Energy Transfer Pathways","This work was supported by the Wellcome Trust (Fellowship No. WT081755), Estonian Science Foundation (grant no 7344, PhD stipend for A.I), and European Union through the European Regional Development Fund. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","81755",81755,"Analysis of structural and functional aspects of compartmentation of adenine nucleotides in heart muscle cells."
"10.1371/journal.pcbi.1002999","2013-03-28","Outlier Responses Reflect Sensitivity to Statistical Structure in the Human Brain","This work was funded by a Wellcome Trust Project Grant (085316/Z/08/Z) to RJD and MS, and an Australian Research Council Discovery Early Career Researcher Award (DE130101393) to MIG. The Wellcome Trust Centre for Neuroimaging is supported by core funding from the Wellcome Trust (091593/Z/10/Z). MS is supported by The Gatsby Charitable Foundation. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","85316;91593",85316,"Model-based Imaging of the Subcortical Salience System ."
"10.1371/journal.pcbi.1002999","2013-03-28","Outlier Responses Reflect Sensitivity to Statistical Structure in the Human Brain","This work was funded by a Wellcome Trust Project Grant (085316/Z/08/Z) to RJD and MS, and an Australian Research Council Discovery Early Career Researcher Award (DE130101393) to MIG. The Wellcome Trust Centre for Neuroimaging is supported by core funding from the Wellcome Trust (091593/Z/10/Z). MS is supported by The Gatsby Charitable Foundation. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","85316;91593",91593,"Core support for the Wellcome Trust Centre for Neuroimaging"
"10.1371/journal.pcbi.1003004","2013-03-28","Systems Model of T Cell Receptor Proximal Signaling Reveals Emergent Ultrasensitivity","This work has been supported by the Medical Research Council (MR/J002011/1), E.P. Abraham Research Fund (BVRVBX0), a Doctoral Training Centre Systems Biology studentship (to HM) from the Engineering and Physical Sciences Research Council (EPSRC), and by a Sir Henry Dale Fellowship (to OD) jointly funded by the Wellcome Trust and the Royal Society (098363). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","98363",98363,"Predicting efficient T cell activation with therapeutic applications."
"10.1371/journal.pcbi.1003036","2013-04-18","The Evolution of Collective Restraint: Policing and Obedience among Non-conjugative Plasmids","This work was supported by EPSRC grant EP/H032436/1. KK and RAG are supported by the Medical Research Council, UK. SPB is supported by Wellcome Trust grant 082273. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","82273",82273,"Evolutionary Ecology of Microbial Virulence."
