"","id","publication_date","financial_disclosure","title"
"14","10.1371/journal.ppat.1000317","2009-02-27T00:00:00Z","This work was supported by a Wellcome Trust Programme grant to KRM and a Wellcome Trust Career Development Fellowship and Wellcome Trust Value in People (VIP) award to AAS.","Differential Trypanosome Surface Coat Regulation by a CCCH Protein That Co-Associates with procyclin mRNA cis-Elements"
"15","10.1371/journal.pone.0000493","2007-06-06T00:00:00Z","The work was funded by the Wellcome Trust. They had no role in the study.","Asymmetry of Early Endosome Distribution in C. elegans Embryos"
"16","10.1371/journal.pctr.0010024","2006-09-15T00:00:00Z","The author is funded by the Wellcome Trust of Great Britain.","Fluid Resuscitation in Malaria: The Need for New Randomised Clinical Trials"
"17","10.1371/journal.ppat.0030091","2007-06-29T00:00:00Z","This project was supported by The Wellcome Trust grants 064945 and 078937.","Leishmania Manipulation of Sand Fly Feeding Behavior Results in Enhanced Transmission"
"18","10.1371/journal.pbio.0050316","2007-11-27T00:00:00Z","This work was supported by the Wellcome Trust and the Alfred Benson Foundation.","Disruption of State Estimation in the Human Lateral Cerebellum"
"19","10.1371/journal.pcbi.0030100","2007-06-01T00:00:00Z","The work is supported by a Wellcome Trust Grant awarded to TDG. JDW was supported by a Wellcome Trust Intermediate Clinical Fellowship.","Hierarchical Processing of Auditory Objects in Humans"
"20","10.1371/journal.pgen.0030213","2007-11-30T00:00:00Z","This work was supported by a Wellcome Trust PhD Studentship (JF) and a Wellcome Trust Senior Research Fellowship in Basic Biomedical Science (KGH).","Bub1 Kinase Targets Sgo1 to Ensure Efficient Chromosome Biorientation in Budding Yeast Mitosis"
"21","10.1371/journal.ppat.0030030","2007-03-02T00:00:00Z","This work was supported by the Wellcome Trust. JDR and AE were each funded by Wellcome Trust studentships.","Female Inheritance of Malarial lap Genes Is Essential for Mosquito Transmission"
"22","10.1371/journal.pone.0001100","2007-10-31T00:00:00Z","This study was supported by a Student Elective Prize from the Wellcome Trust. DAJM is supported by the Wellcome Trust (grant number 078067).","Solar Disinfection of MODS Mycobacterial Cultures in Resource-Poor Settings"
"23","10.1371/journal.pbio.1001710","2013-11-12T00:00:00Z","The Wellcome Trust (Wellcome Principal Research Fellowship to AJK; WT076508AIA) http://www.wellcome.ac.uk/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Constructing Noise-Invariant Representations of Sound in the Auditory Pathway"
"24","10.1371/journal.pone.0067922","2013-07-03T00:00:00Z","This work was funded by the Wellcome Trust. MM has a Wellcome Trust PhD studentship and HM is a Wellcome Trust Senior Fellow. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Roles for Treg Expansion and HMGB1 Signaling through the TLR1-2-6 Axis in Determining the Magnitude of the Antigen-Specific Immune Response to MVA85A"
"25","10.1371/journal.pone.0002027","2008-04-30T00:00:00Z","We acknowledge funding support from the Wellcome Trust and the Medical Research council. KF was supported by a Wellcome Trust fellowship in Clinical Tropical Medicine. AVSH is a Wellcome Trust Principal Research Fellow. Funders had no role in any aspect of this project.","Correlation of Memory T Cell Responses against TRAP with Protection from Clinical Malaria, and CD4+ CD25high T Cells with Susceptibility in Kenyans"
"26","10.1371/journal.pone.0007144","2009-09-23T00:00:00Z","This work was supported by The Wellcome Trust (http://www.wellcome.ac.uk/ Programme Grant Ref: 042065/Z96/D) and by a Wellcome Trust Advanced Training Fellowship to MM (Grant Ref: 074556/Z/04/Z). The Wellcome Trust had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Genomic Analysis of the Function of the Transcription Factor gata3 during Development of the Mammalian Inner Ear"
"27","10.1371/journal.pgen.0020147","2006-11-24T00:00:00Z","We thank The Wellcome Trust (RJO) and The Generation Trust (AJW) for their support.","Genomic Imprinting in Mammals: Emerging Themes and Established Theories"
"28","10.1371/journal.pgen.0030023","2007-02-16T00:00:00Z","This work was supported by the Wellcome Trust through the Beowulf Genomics Initiative.","Meningococcal Genetic Variation Mechanisms Viewed through Comparative Analysis of Serogroup C Strain FAM18"
"29","10.1371/journal.pone.0067852","2013-07-02T00:00:00Z","PC was a BBSRC research student, CD was a Wellcome funded research student. MT, AM and AC were funded by a Wellcome Project Grant. The Wellcome Trust Centre for Molecular Parasitology is supported by core funding from the Wellcome Trust [085349]. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Human and Animal Trypanosomes in Côte d'Ivoire Form a Single Breeding Population"
"30","10.1371/journal.pctr.0010029","2006-10-20T00:00:00Z","PB holds a Wellcome Trust training fellowship (073597), KM is supported by the Wellcome Trust, and AVSH is a Wellcome Trust Principal Research Fellow. The study was funded by the Wellcome Trust and the Gates Malaria Partnership at the London School of Hygiene and Tropical Medicine. The sponsors had no role in trial design, conduct, analysis, presentation, or decision to publish.","A Phase 2b Randomised Trial of the Candidate Malaria Vaccines FP9 ME-TRAP and MVA ME-TRAP among Children in Kenya"
"31","10.1371/journal.pntd.0000164","2008-02-06T00:00:00Z","PB holds a Wellcome Trust training fellowship (073597), KM is supported by the Wellcome Trust, and AVSH is a Wellcome Trust Principal Research Fellow. The study was funded by the Wellcome Trust and the Gates Malaria Partnership at the London School of Hygiene and Tropical Medicine. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Helminth Infection and Eosinophilia and the Risk of Plasmodium falciparum Malaria in 1- to 6-Year-Old Children in a Malaria Endemic Area"
"32","10.1371/journal.pcbi.1000254","2008-12-26T00:00:00Z","This work was supported by Wellcome Trust Programme Grants to RJD and KJF.","Game Theory of Mind"
"33","10.1371/journal.pone.0001738","2008-03-05T00:00:00Z","Wellcome Trust, the Japan Society for Promotion of Science, the Netherlands Organization for Scientific Research","MicroRNA Biogenesis Is Required for Mouse Primordial Germ Cell Development and Spermatogenesis"
"34","10.1371/journal.pone.0001949","2008-04-09T00:00:00Z","TBH thanks the Wellcome Trust; GPG thanks the UK Medical Research Council.","Late Entry to HIV Care Limits the Impact of Anti-Retroviral Therapy in the Netherlands"
"35","10.1371/journal.pbio.0060256","2008-10-28T00:00:00Z","Funding for this work was provided by Agency for Science and Technology Research (Singapore) and the Wellcome Trust.","REST Regulates Distinct Transcriptional Networks in Embryonic and Neural Stem Cells"
"36","10.1371/journal.pbio.0040386","2006-11-14T00:00:00Z","This work was funded by the Wellcome Trust (grant number 29156) and the Newton Trust.","Two or Four Bristles: Functional Evolution of an Enhancer of scute in Drosophilidae"
"37","10.1371/journal.pmed.0030184","2006-06-06T00:00:00Z","Funding for this work was provided by a Wellcome Trust project grant to SCW and RAH (072426).","Bioinformatics and Multiepitope DNA Immunization to Design Rational Snake Antivenom"
"38","10.1371/journal.pbio.0040332","2006-10-03T00:00:00Z","AF is a Wellcome Trust University Fellow (grant ref. 074039/Z/03/Z).","tRNAs Promote Nuclear Import of HIV-1 Intracellular Reverse Transcription Complexes"
"39","10.1371/journal.pone.0002455","2008-06-18T00:00:00Z","MRC UK program grant, Wellcome Trust research Training Fellowship","PINK1 Is Necessary for Long Term Survival and Mitochondrial Function in Human Dopaminergic Neurons"
"40","10.1371/journal.pbio.0060022","2008-01-29T00:00:00Z","This work was supported by the Wellcome Trust and by a Medical Research Council (UK) studentship to RI.","A Novel CpG Island Set Identifies Tissue-Specific Methylation at Developmental Gene Loci"
"41","10.1371/journal.ppat.1000979","2010-07-01T00:00:00Z","This work was funded by the Wellcome Trust. S.J.C. is a Wellcome Trust Clinical Research Fellow. A.V.S.H. is a Wellcome Trust Principal Research Fellow. F.O.V. is supported by the Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Leprosy and the Adaptation of Human Toll-Like Receptor 1"
"42","10.1371/journal.pone.0000707","2007-08-15T00:00:00Z","PB holds a Wellcome Trust training fellowship (073597), KM is supported by the Wellcome Trust and AVSH is a Wellcome Trust Principal Research Fellow. The study was funded by the Wellcome Trust and the Gates Malaria Partnership at the London School of Hygiene and Tropical Medicine. The funders had no role in trial design, conduct, analysis, presentation or decision to publish.","Extended Follow-Up Following a Phase 2b Randomized Trial of the Candidate Malaria Vaccines FP9 ME-TRAP and MVA ME-TRAP among Children in Kenya"
"43","10.1371/journal.pone.0000634","2007-07-25T00:00:00Z","Funded by the Wellcome Trust through the Research Development Fund of the University of Liverpool.","Population Bottlenecks Promote Cooperation in Bacterial Biofilms"
"44","10.1371/journal.pbio.0050069","2007-03-06T00:00:00Z","The work was supported by the Wellcome Trust (grant 062893) and the Medical Research Council (G0001203).","The Prethalamus Is Established during Gastrulation and Influences Diencephalic Regionalization"
"45","10.1371/journal.pmed.0030142","2006-04-04T00:00:00Z","CN's research is funded by a Wellcome Trust Biomedical Ethics Research Fellowship.","What Is the Bioscience Industry Doing to Address the Ethical Issues It Faces?"
"46","10.1371/journal.pmed.0030200","2006-05-02T00:00:00Z","Stephen Rogerson is supported by a senior fellowship from The Wellcome Trust.","What Is the Relationship between Haptoglobin, Malaria, and Anaemia?"
"47","10.1371/journal.pone.0023463","2011-08-26T00:00:00Z","Funding was provided by KLG's Wellcome Trust studentship (www.wellcome.ac.uk; WT086338RP) and HM's Wellcome Trust Senior Fellowship (www.wellcome.ac.uk; WT076943MA). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Th1/Th17 Cell Induction and Corresponding Reduction in ATP Consumption following Vaccination with the Novel Mycobacterium tuberculosis Vaccine MVA85A"
"48","10.1371/journal.pone.0000004","2006-12-20T00:00:00Z","This work was supported by a grant from the Gatsby Charitable Foundation and the Wellcome Trust.","Expression of Transgenes Targeted to the Gt(ROSA)26Sor Locus Is Orientation Dependent"
"49","10.1371/journal.pbio.0060135","2008-06-03T00:00:00Z","Research was supported by the EU Epigenome NoE FP6, the MRC, and the Wellcome Trust.","The Evolution of the DLK1-DIO3 Imprinted Domain in Mammals"
"50","10.1371/journal.pone.0078312","2013-10-23T00:00:00Z","Funding was provided by KLG's Wellcome Trust studentship (www.wellcome.ac.uk; WT086338RP) and HM's Wellcome Trust Senior Fellowship (www.wellcome.ac.uk; WT076943MA). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Cholera Toxin Enhances Vaccine-Induced Protection against Mycobacterium Tuberculosis Challenge in Mice"
"51","10.1371/journal.pcbi.1000209","2008-11-14T00:00:00Z","SJK and KJF are funded by the Wellcome Trust. JD is funded by a European Marie-Curie fellowship.","A Hierarchy of Time-Scales and the Brain"
"52","10.1371/journal.pcbi.0030198","2007-10-26T00:00:00Z","JJW was supported by a Wellcome Trust Fellowship as part of the BioMap consortium. JJW and JMT were also supported by the Wellcome Trust as part of the Functional Genomics of Ageing consortium.","Evolutionary Models for Formation of Network Motifs and Modularity in the Saccharomyces Transcription Factor Network"
"53","10.1371/journal.ppat.0040022","2008-02-08T00:00:00Z","This research was supported by the Wellcome Trust, UK, Medical Research Council, and an Overseas Research Student Award. GLS is a Wellcome Principal Research Fellow.","Inhibition of IκB Kinase by Vaccinia Virus Virulence Factor B14"
"54","10.1371/journal.pone.0001052","2007-10-24T00:00:00Z","HM is a Wellcome Trust Senior Clinical Research Fellow and AVSH is a Wellcome Trust Principal Research Fellow. Oxford University was the sponsor for all the clinical trials reported here.","Boosting BCG with Recombinant Modified Vaccinia Ankara Expressing Antigen 85A: Different Boosting Intervals and Implications for Efficacy Trials"
"55","10.1371/journal.pntd.0001593","2012-04-03T00:00:00Z","This work was supported by The Wellcome Trust (www.wellcome.ac.uk/). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The Schistosoma mansoni Tegumental-Allergen-Like (TAL) Protein Family: Influence of Developmental Expression on Human IgE Responses"
"56","10.1371/journal.pmed.0030158","2006-04-18T00:00:00Z","This study received financial support from the Wellcome Trust. TNW and KM are supported by the Wellcome Trust. DJW is supported through a grant from the Leverhulme Trust.","The Effect of α +-Thalassaemia on the Incidence of Malaria and Other Diseases in Children Living on the Coast of Kenya"
"57","10.1371/journal.pntd.0001679","2012-06-26T00:00:00Z","This work was supported by the Wellcome Trust(www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Clinical Features of Dengue in a Large Vietnamese Cohort: Intrinsically Lower Platelet Counts and Greater Risk for Bleeding in Adults than Children"
"58","10.1371/journal.pbio.0050288","2007-10-23T00:00:00Z","This work was funded by the Wellcome Trust (UK). TO is supported by the German Academic Exchange Service. JDW is supported by a Wellcome Trust Intermediate Clinical Fellowship.","An Information Theoretic Characterisation of Auditory Encoding"
"59","10.1371/journal.pone.0080720","2013-11-18T00:00:00Z","SC was funded by a Wellcome Trust Sir Henry Wellcome Postdoctoral Fellowship [082744]. See www.wellcome.ac.uk. Work in the AEF lab is funded by grants from the Wellcome Trust [088789] and the U.K. Biotechnology and Biological Research Council (BBSRC) [BB/J007072/1 and BB/J015652/1]. See www.wellcome.ac.uk and www.bbscr.ac.uk respectively. BYWC is funded by an EMBO Long-Term Postdoctoral Fellowship and a Sir Henry Wellcome Postdoctoral Fellowship [096082]. See www.embo.org and www.wellcome.ac.uk respectively. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Novel Virus Discovery and Genome Reconstruction from Field RNA Samples Reveals Highly Divergent Viruses in Dipteran Hosts"
"60","10.1371/journal.pone.0051300","2012-12-10T00:00:00Z","This work was funded by Wellcome Trust programme grant 076355 to DFS, JCM, PMK. TKS is supported by a Wellcome Trust Senior Research Fellowship (067441) and Wellcome Trust project grant 086658. The Wellcome Trust Centre for Molecular Parasitology is supported by core funding from the Wellcome Trust (085349). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Functional Analysis of Leishmania Cyclopropane Fatty Acid Synthetase"
"61","10.1371/journal.pone.0042085","2012-07-27T00:00:00Z","This work was supported by The Malawi-Liverpool-Wellcome Trust Core Programme Grant from the Wellcome Trust (Robert S. Heyderman); Tropical Research Fellowships from the Wellcome Trust (Calman A. MacLennan and Melita A. Gordon); a Clinical Research Fellowship from GlaxoSmithKline (Calman A. MacLennan); and Wellcome Trust Funding for the Wellcome Trust Sanger Institute. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Genotypic Homogeneity of Multidrug Resistant S. Typhimurium Infecting Distinct Adult and Childhood Susceptibility Groups in Blantyre, Malawi"
"62","10.1371/journal.pone.0060550","2013-03-25T00:00:00Z","This work was supported by a Wellcome Trust Senior Clinical Research Fellowship to GR. The Wellcome Trust Centre for Neuroimaging is supported by core funding from the Wellcome Trust 091593/Z/10/Z. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. No additional external funding was received for this study.","Subjective Size Perception Depends on Central Visual Cortical Magnification in Human V1"
"63","10.1371/journal.pmed.1000304","2010-07-06T00:00:00Z","The study was supported by the Wellcome Trust and by the Kenya Medical Research Institute (KEMRI). PB is supported by the Biomedical Research Centre in Oxford. KM, TNW, and FO are supported by Wellcome Trust. SIH is funded by a Senior Research Fellowship from the Wellcome Trust (#079091). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Stable and Unstable Malaria Hotspots in Longitudinal Cohort Studies in Kenya"
"64","10.1371/journal.pbio.1000285","2010-01-19T00:00:00Z","MAJ was supported by a Wellcome Trust Senior Fellowship in Basic Biomedical Science (grant number 057559); PB, GRB, SMA, ZHR, and CTS were supported by the Wellcome Trust (www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","A Predominantly Neolithic Origin for European Paternal Lineages"
"65","10.1371/journal.pone.0054026","2013-01-08T00:00:00Z","CT and FN are supported by the Wellcome Trust of Great Britain (Grant No. 077166/Z/05). PT is also supported by the Wellcome Trust (Grant 083735). SMRU is part of the Mahidol-Oxford University Tropical Medicine Research Program and is supported by the Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","High Rates of Pneumonia in Children under Two Years of Age in a South East Asian Refugee Population"
"66","10.1371/journal.ppat.1003502","2013-07-11T00:00:00Z","This work was supported by the Wellcome Trust (Grant numbers 055558 and 083224). The Wellcome Trust Centre for Molecular Parasitology is supported by core funding from the Wellcome Trust (Grant number 085349). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Mosaic VSGs and the Scale of Trypanosoma brucei Antigenic Variation"
"67","10.1371/journal.pcbi.1003335","2013-11-21T00:00:00Z","This work was supported by the Wellcome Trust [Ray Dolan Senior Investigator Award 098362/Z/12/Z]. The Wellcome Trust Centre for Neuroimaging is supported by core funding from the Wellcome Trust 091593/Z/10/Z. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Dread and the Disvalue of Future Pain"
"68","10.1371/journal.pntd.0001245","2011-07-19T00:00:00Z","This work was supported by the Wellcome Trust. KEH was supported by a Wellcome Trust Studentship and a Fellowship from the NHMRC of Australia (#628930). MDP was supported by a Wellcome Trust Studentship. SB is supported by an OAK Foundation Fellowship through Oxford University. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Emergence of a Globally Dominant IncHI1 Plasmid Type Associated with Multiple Drug Resistant Typhoid"
"69","10.1371/journal.pone.0023376","2011-08-11T00:00:00Z","This work was supported by the Wellcome Trust [075491/Z/04] and Wellcome Trust Programme Grant Award [083228] to S.B. (http://www.wellcome.ac.uk/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","A Comparison of Exogenous Promoter Activity at the ROSA26 Locus Using a PhiC31 Integrase Mediated Cassette Exchange Approach in Mouse ES Cells"
"70","10.1371/journal.pone.0000599","2007-07-11T00:00:00Z","ME is a Wellcome Trust Career Development Fellow; this work was funded by grant GR063560MA from the Wellcome's Tropical Interest Group to ME. The South Asian Clinical Toxicology Research Collaboration (SACTRC) is funded by the Wellcome Trust/National Health and Medical Research Council International Collaborative Research Grant 071669MA.","The Importance of Poisoning vs. Road Traffic Injuries  as a Cause of Death in Rural Sri Lanka"
"71","10.1371/journal.pone.0050100","2012-11-20T00:00:00Z","CT and FN are supported by the Wellcome Trust of Great Britain (Grant No. 077166/Z/05). PT is also supported by the Wellcome Trust (Grant 083735). SMRU is part of the Mahidol-Oxford University Tropical Medicine Research Program and is supported by the Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","A High Burden of Respiratory Syncytial Virus Associated Pneumonia in Children Less than Two Years of Age in a South East Asian Refugee Population"
"72","10.1371/journal.pone.0002212","2008-05-21T00:00:00Z","For funding support TBH thanks the Wellcome Trust; RGW thanks the UK Medical Research Council and the Wellcome Trust; LJA-R thanks the Puget Sound Partners for Global Health; and, GPG thanks UNAIDS, the Wellcome Trust and the UK Medical Research Council.","Understanding the Impact of Male Circumcision Interventions on the Spread of HIV in Southern Africa"
"73","10.1371/journal.pone.0027779","2011-11-16T00:00:00Z","This work was funded by The University of Liverpool (studentship support to SRP), the Wellcome Trust Grant Ref: 086391 (http://www.wellcome.ac.uk/), and a Wellcome Trust prize PhD studentship awarded to HVM (Grant Ref: 083848). The funders had no role in the study design, data collection and analysis, decision to publish or preparation of the manuscript.","Characterisation of the Interaction of the C-Terminus of the Dopamine D2 Receptor with Neuronal Calcium Sensor-1"
"74","10.1371/journal.pntd.0002091","2013-03-14T00:00:00Z","This work was funded by the Wellcome Trust, through core support of the Wellcome Trust Sanger Institute (grant WT 098051). Additional support was provided by a Wellcome Trust Programme Grant to DWD (WT 083931/Z/07/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Comparative Study of Transcriptome Profiles of Mechanical- and Skin-Transformed Schistosoma mansoni Schistosomula"
"75","10.1371/journal.ppat.1002194","2011-08-25T00:00:00Z","This work was supported by the Wellcome Trust (www.wellcome.ac.uk) and the James Martin 21st Century School. SAC is a Wellcome Career Re-entry Fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Transportin 3 Promotes a Nuclear Maturation Step Required for Efficient HIV-1 Integration"
"76","10.1371/journal.pone.0001668","2008-02-27T00:00:00Z","This work is supported by the Wellcome Functional Genomics Initiative BAIR (Biological Atlas of Insulin Resistance) (066786). Steven P. Wilder is the recipient of a Wellcome Prize Studentship in Bioinformatics and Statistical Genetics. Dominique Gauguier holds a Wellcome Senior Fellowship in Basic Biomedical Science (057733).","Phylometabonomic Patterns of Adaptation to High Fat Diet Feeding in Inbred Mice"
"77","10.1371/journal.pgen.1001179","2010-10-28T00:00:00Z","OML and HO received a BBSRC Special Studentship and a Wellcome Trust Senior Research Fellowship, respectively. This work is supported by The Wellcome Trust (www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","The Meiotic Recombination Checkpoint Suppresses NHK-1 Kinase to Prevent Reorganisation of the Oocyte Nucleus in Drosophila"
"78","10.1371/journal.pone.0013453","2010-10-18T00:00:00Z","This work was supported by grants from the Wellcome Trust (FJL) and the Wenner-Gren Foundation (TA) and by core support to the Gurdon Institute from Cancer Research UK and the Wellcome Trust (www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Reversible Block of Mouse Neural Stem Cell Differentiation in the Absence of Dicer and MicroRNAs"
"79","10.1371/journal.pntd.0002391","2013-08-22T00:00:00Z","This work was supported by The Wellcome Trust of the United Kingdom (http://www.wellcome.ac.uk/). SB is supported by a Sir Henry Dale Fellowship for the Wellcome Trust and The Royal Society. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Differential Epidemiology of Salmonella Typhi and Paratyphi A in Kathmandu, Nepal: A Matched Case Control Investigation in a Highly Endemic Enteric Fever Setting"
"80","10.1371/journal.pone.0005347","2009-04-28T00:00:00Z","This work was supported by a Senior Research Fellowship in Basic Biomedical Research (057586/Z/99/A) from the Wellcome Trust (www.wellcome.ac.uk) awarded to MCW. LG was supported by a Prize Studentship from the Wellcome Trust. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Efficient Second Strand Cleavage during Holliday Junction Resolution by RuvC Requires Both Increased Junction Flexibility and an Exposed 5′ Phosphate"
"81","10.1371/journal.pone.0024524","2011-09-15T00:00:00Z","This work was supported by the Wellcome Trust. SH is funded by a Senior Research Fellowship from the Wellcome Trust (# 079091) which also supports CK and PG. EO is supported by the Wellcome Trust as a Research Training Fellow (# 086166). AN is supported by the Wellcome Trust as a Research Training Fellow (# 081829). RS is supported by the Wellcome Trust as Principal Research Fellow (# 079080). This work forms part of the output of the Malaria Atlas Project (http://www.map.ox.ac.uk), principally funded by the Wellcome Trust, United Kingdom. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Temperature and Malaria Trends in Highland East Africa"
"82","10.1371/journal.pone.0037166","2012-05-25T00:00:00Z","This study was funded by the Wellcome Trust of Great Britain (www.wellcome.ac.uk, grant number 077166/Z/05/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Optimising Strategies for Plasmodium falciparum Malaria Elimination in Cambodia: Primaquine, Mass Drug Administration and Artemisinin Resistance"
"83","10.1371/journal.pone.0013652","2010-10-27T00:00:00Z","This work was supported by the Wellcome Trust, grant number RG 45642. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. wellcome.ac.uk","The Roles of BDNF, pCREB and Wnt3a in the Latent Period Preceding Activation of Progenitor Cell Mitosis in The Adult Dentate Gyrus by Fluoxetine"
"84","10.1371/journal.pone.0030453","2012-01-17T00:00:00Z","This work was supported by the Wellcome Trust, programme grant no. GR079862MA (www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","RhoE Is Regulated by Cyclic AMP and Promotes Fusion of Human BeWo Choriocarcinoma Cells"
"85","10.1371/journal.pone.0027273","2011-11-16T00:00:00Z","This study was funded by the Wellcome Trust of Great Britain (www.wellcome.ac.uk, grant number 077166/Z/05/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Timing of Enteral Feeding in Cerebral Malaria in Resource-Poor Settings: A Randomized Trial"
"86","10.1371/journal.pbio.1000419","2010-07-13T00:00:00Z","This work was supported by the Wellcome Trust (http://www.wellcome.ac.uk), grant number BVROJG0. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Active RNA Polymerases: Mobile or Immobile Molecular Machines?"
"87","10.1371/journal.pone.0024174","2011-09-02T00:00:00Z","This study is funded by The Wellcome Trust (081849; www.wellcome.ac.uk). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Kebab: Kinetochore and EB1 Associated Basic Protein That Dynamically Changes Its Localisation during Drosophila Mitosis"
"88","10.1371/journal.pntd.0000573","2009-12-22T00:00:00Z","We are grateful to the Wellcome Trust (www.wellcome.ac.uk) for funding this study (grant number 078460/Z/05/Z). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Active Trachoma and Ocular Chlamydia trachomatis Infection in Two Gambian Regions: On Course for Elimination by 2020?"
"89","10.1371/journal.pone.0038321","2012-06-04T00:00:00Z","Funded by the Wellcome Trust grant number 077092/Z/05/Z, www.wellcome.ac.uk. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","Diarrhoea Complicating Severe Acute Malnutrition in Kenyan Children: A Prospective Descriptive Study of Risk Factors and Outcome"
